,Total Return,Index Value,Income Return,Realized Gain/Loss,Unrealized Gain/Loss
2004-09-01,,1000,,,
2004-12-01,2.35%,1023.51,1.57%,-0.02%,0.80%
2005-03-01,1.90%,1043,1.92%,0.52%,-0.54%
2005-06-01,2.37%,1067.71,2.36%,0.47%,-0.47%
2005-09-01,2.68%,1096.34,2.28%,-0.01%,0.42%
2005-12-01,2.78%,1126.86,2.29%,-0.09%,0.59%
2006-03-01,2.89%,1159.44,2.38%,0.01%,0.50%
2006-06-01,3.50%,1200.04,2.62%,0.35%,0.53%
2006-09-01,3.52%,1242.25,2.79%,0.42%,0.32%
2006-12-01,3.14%,1281.19,2.78%,-0.14%,0.49%
2007-03-01,3.74%,1329.08,2.56%,1.33%,-0.15%
2007-06-01,4.12%,1383.89,2.65%,-0.21%,1.69%
2007-09-01,0.95%,1396.98,2.54%,0.10%,-1.69%
2007-12-01,1.10%,1412.28,2.68%,0.52%,-2.10%
2008-03-01,-1.14%,1396.18,2.63%,-0.05%,-3.73%
2008-06-01,2.50%,1431.13,2.67%,-0.25%,0.08%
2008-09-01,-1.12%,1415.11,2.89%,-0.29%,-3.72%
2008-12-01,-6.68%,1320.55,3.05%,-0.02%,-9.71%
2009-03-01,2.33%,1351.25,3.00%,-0.18%,-0.50%
2009-06-01,2.82%,1389.4,3.03%,-2.43%,2.22%
2009-09-01,3.94%,1444.15,2.96%,-1.17%,2.16%
2009-12-01,3.49%,1494.59,2.95%,-3.29%,3.83%
2010-03-01,3.38%,1545.05,2.85%,-2.74%,3.26%
2010-06-01,3.83%,1604.24,2.96%,1.54%,-0.68%
2010-09-01,3.36%,1658.08,2.93%,-0.87%,1.30%
2010-12-01,4.37%,1730.52,3.06%,-0.88%,2.19%
2011-03-01,3.88%,1797.68,2.80%,0.07%,1.01%
2011-06-01,2.41%,1840.92,2.86%,-0.17%,-0.28%
2011-09-01,-0.18%,1837.65,2.91%,-0.20%,-2.89%
2011-12-01,3.35%,1899.29,3.00%,-1.49%,1.84%
2012-03-01,3.97%,1974.69,2.99%,0.16%,0.82%
2012-06-01,2.45%,2023.14,2.96%,-0.67%,0.16%
2012-09-01,3.74%,2098.89,2.98%,-0.10%,0.86%
2012-12-01,3.19%,2165.8,3.09%,0.01%,0.10%
2013-03-01,3.20%,2235.15,2.74%,0.08%,0.38%
2013-06-01,2.62%,2293.69,2.88%,-0.23%,-0.02%
2013-09-01,3.13%,2365.38,2.85%,0.02%,0.25%
2013-12-01,3.18%,2440.51,2.74%,-0.07%,0.50%
2014-03-01,2.90%,2511.22,2.64%,0.09%,0.17%
2014-06-01,2.81%,2581.85,2.62%,0.06%,0.13%
2014-09-01,2.42%,2644.41,2.65%,0.11%,-0.33%
2014-12-01,1.12%,2673.95,2.65%,-0.24%,-1.29%
2015-03-01,2.45%,2739.43,2.49%,0.03%,-0.07%
2015-06-01,2.46%,2806.75,2.66%,-0.36%,0.16%
2015-09-01,0.82%,2829.85,2.55%,-0.22%,-1.51%
2015-12-01,-0.28%,2821.99,2.62%,-0.16%,-2.74%
2016-03-01,1.52%,2864.99,2.54%,-0.29%,-0.73%
2016-06-01,3.62%,2968.71,2.55%,-0.41%,1.49%
2016-09-01,3.05%,3059.35,2.52%,-0.40%,0.93%
2016-12-01,2.61%,3139.28,2.52%,-0.32%,0.41%
2017-03-01,2.36%,3213.4,2.45%,-0.50%,0.41%
2017-06-01,2.00%,3277.83,2.43%,-0.65%,0.22%
2017-09-01,1.97%,3342.44,2.39%,-0.17%,-0.25%
2017-12-01,2.02%,3410.06,2.52%,-0.44%,-0.05%
2018-03-01,2.18%,3484.56,2.43%,-0.34%,0.10%
2018-06-01,2.44%,3569.63,2.52%,-0.38%,0.30%
2018-09-01,2.38%,3654.68,2.55%,0.18%,-0.34%
2018-12-01,0.84%,3685.34,2.55%,-0.39%,-1.32%
2019-03-01,2.78%,3787.78,2.56%,-0.14%,0.36%
2019-06-01,2.25%,3873.03,2.56%,-0.31%,0.00%
2019-09-01,1.77%,3941.76,2.50%,-0.19%,-0.54%
2019-12-01,1.91%,4017.15,2.36%,-0.30%,-0.15%
2020-03-01,-4.84%,3822.73,2.31%,-0.35%,-6.80%
